id,name,sector,country,type
uvdl,Ursula von der Leyen,1,belgien,1
lk,Lars Klingbeil,1,deutschland,1
nr,Norbert Röttgen,1,deutschland,1
sw,Sahra Wagenknecht,1,deutschland,1
cs,Constanze Stelzenmüller,2,deutschland,1
cl,Christian Lindner,1,deutschland,1
nr,Nobert Röttgen,1,deutschland,1
ks,Karl Schlögel,3,deutschland,1
lm,Ljudmyla Melnyk,3,ukraine,1
kd,Kristina Dunz,2,deutschland,1
ab,Annalena Baerbock,1,deutschland,1
ft,Frans Timmermans,1,niederlande,1
am,Andrij Melnyk,1,ukraine,1
agl,Alexander Graf Lambsdorff,1,deutschland,1
er,Egon Ramms,3,deutschland,1
rh,Robert Habeck,1,deutschland,1
lk,Lars Klingbeil,1,deutschland,1
cm,Claudia Major,3,deutschland,1
kp,Katja Petrowskaja,2,ukraine,1
rk,Roderich Kiesewetter,1,deutschland,1
cl,Christine Lambrecht,1,deutschland,1
agl,Alexander Graf Lambsdorff,1,deutschland,1
sb,Stefanie Babst,2,deutschland,1
ch,Christoph Heusgen,1,deutschland,1
mw,Marina Weisband,2,ukraine,1
os,Olaf Scholz,1,deutschland,1
fh,Folge funfhundert,0,0,2
fhe,Folge funfhunderteins,0,0,2
fhz,Folge funfhundertzwei,0,0,2
fhd,Folge funfhundertdrei,0,0,2
fhv,Folge funfhundertvier,0,0,2
fhf,Folge funfhundertfünf,0,0,2
cdu,CDU,0,deutschland,3
fdp,FDP,0,deutschland,3
spd,SPD,0,deutschland,3
linke,LINKE,0,deutschland,3
die grünen,GRÜNE,0,deutschland,3
